,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
30,5/31/2015,1.23,95123.62,922.37,70469.69,50.55,23681,23222,459,0,conventional,2015,Albany
31,5/24/2015,1.19,101470.91,680.27,71376.81,58.7,29355,28762,593,0,conventional,2015,Albany
32,5/17/2015,1.43,109857.47,1150.55,81955.16,94.32,26657,26285,372,0,conventional,2015,Albany
33,5/10/2015,1.26,120427.91,1420.43,102000.52,185.66,16821,16536,286,0,conventional,2015,Albany
34,5/3/2015,1.2,59197.67,919.87,45490.05,217.24,12571,12202,369,0,conventional,2015,Albany
35,4/26/2015,1.22,49585.46,875.65,35841.75,89.62,12778,12077,702,0,conventional,2015,Albany
36,4/19/2015,1.19,49064.73,774.15,33941.51,47.15,14302,13603,699,0,conventional,2015,Albany
37,4/12/2015,1.13,48364.29,864.27,30374.15,21.5,17104,16438,666,0,conventional,2015,Albany
38,4/5/2015,1.16,47362.13,961.77,35577.66,93.76,10729,9869,756,104,conventional,2015,Albany
39,3/29/2015,1.02,67799.08,1402.28,58623.22,89.5,7684,7208,476,0,conventional,2015,Albany
40,3/22/2015,1.12,46346.85,2141.83,34313.56,141.8,9750,9253,497,0,conventional,2015,Albany
41,3/15/2015,1.11,43045.79,2128.26,30447.17,99.67,10371,9990,381,0,conventional,2015,Albany
42,3/8/2015,1.07,40507.36,795.68,30370.64,159.05,9182,8828,354,0,conventional,2015,Albany
43,3/1/2015,0.99,55595.74,629.46,45633.34,181.49,9151,8986,165,0,conventional,2015,Albany
44,2/22/2015,1.07,45675.05,1088.38,35056.13,151,9380,9000,379,0,conventional,2015,Albany
45,2/15/2015,1.06,41567.62,986.66,30045.51,222.42,10313,9980,333,0,conventional,2015,Albany
46,2/8/2015,0.99,51253.97,1357.37,39111.81,163.25,10622,10113,508,0,conventional,2015,Albany
47,2/1/2015,0.99,70873.6,1353.9,60017.2,179.32,9323,9171,152,0,conventional,2015,Albany
48,1/25/2015,1.06,45147.5,941.38,33196.16,164.14,10846,10103,742,0,conventional,2015,Albany
49,1/18/2015,1.17,44511.28,914.14,31540.32,135.77,11921,11651,270,0,conventional,2015,Albany
50,1/11/2015,1.24,41195.08,1002.85,31640.34,127.12,8425,8036,389,0,conventional,2015,Albany
51,1/4/2015,1.22,40873.28,2819.5,28287.42,49.9,9716,9187,530,0,conventional,2015,Albany
0,12/27/2015,0.99,386100.49,292097.36,27350.92,297.9,66354,48606,17748,0,conventional,2015,Atlanta
1,12/20/2015,1.08,331377.53,251774.15,20702.45,103.06,58798,46930,11868,0,conventional,2015,Atlanta
2,12/13/2015,0.96,417772.47,324932.28,31019.08,275.8,61545,38904,22628,14,conventional,2015,Atlanta
3,12/6/2015,1.07,357636.82,283024.01,23740.85,181.92,50690,37033,13655,3,conventional,2015,Atlanta
4,11/29/2015,0.99,333280.79,250288.65,28889.63,307.83,53795,33032,20739,24,conventional,2015,Atlanta
5,11/22/2015,1,356414.57,269799.03,29732.3,501.16,56382,36992,19390,0,conventional,2015,Atlanta
6,11/15/2015,1.13,339860.68,263915.78,28442.45,455.97,47046,33656,13390,0,conventional,2015,Atlanta
7,11/8/2015,1.12,334041.6,250441.38,34483.33,488.24,48629,35663,12941,25,conventional,2015,Atlanta
8,11/1/2015,0.99,419088.74,290457.5,62980.07,252.79,65398,39461,25929,8,conventional,2015,Atlanta
9,10/25/2015,1.09,358478.08,236814.29,64607.97,304.36,56751,31827,24925,0,conventional,2015,Atlanta
10,10/18/2015,1.09,349072.48,228710.28,59731.79,291.22,60339,36884,23455,0,conventional,2015,Atlanta
11,10/11/2015,0.95,433874.46,255933.32,91047.32,599.71,86294,41160,45134,0,conventional,2015,Atlanta
12,10/4/2015,0.96,418682.26,265797.09,92780.33,644.43,59460,14876,44585,0,conventional,2015,Atlanta
13,9/27/2015,1.07,370321.17,262107.44,61870.63,680.8,45662,20534,25126,3,conventional,2015,Atlanta
14,9/20/2015,0.93,516432.6,346118.51,82762.72,1349.41,86202,33698,52442,61,conventional,2015,Atlanta
15,9/13/2015,1.07,417232.18,278048.26,62485.97,714.93,75983,46290,29679,14,conventional,2015,Atlanta
16,9/6/2015,0.97,472136.53,303113.24,73675.85,911.25,94436,49834,44550,53,conventional,2015,Atlanta
17,8/30/2015,1.15,382972.72,275818.27,44839.12,1034.09,61281,47138,14113,31,conventional,2015,Atlanta
18,8/23/2015,1.12,379054.29,274462.42,46223.69,950.09,57418,45534,11884,0,conventional,2015,Atlanta
19,8/16/2015,1.09,465213.81,362579.51,41992.44,1424.96,59217,45068,14149,0,conventional,2015,Atlanta
20,8/9/2015,1.01,503791.72,385027.71,47040.07,4251.74,67472,45820,21568,83,conventional,2015,Atlanta
21,8/2/2015,1.15,405898.44,306587.86,41906.78,3515.48,53888,42126,11720,42,conventional,2015,Atlanta
22,7/26/2015,1.08,437377.75,335372.02,44087.07,708,57211,45114,12096,0,conventional,2015,Atlanta
23,7/19/2015,0.97,557212.99,446100.17,47838.42,1982.03,61292,45100,16193,0,conventional,2015,Atlanta
24,7/12/2015,1.14,407204.88,310080.33,37953.24,867.46,58304,46024,12280,0,conventional,2015,Atlanta
25,7/5/2015,1.01,562462.33,436377.91,54675.38,848.55,70560,50685,19851,25,conventional,2015,Atlanta
26,6/28/2015,1.13,435210.71,331353.43,37698.53,816.56,65342,52100,13108,134,conventional,2015,Atlanta
27,6/21/2015,0.99,554763.76,449311.47,30231.78,678.4,74542,55485,19011,47,conventional,2015,Atlanta
28,6/14/2015,1.1,465804.78,386370.5,17701.12,471.72,61261,48612,12578,71,conventional,2015,Atlanta
29,6/7/2015,0.99,551009.05,455565.92,22414.17,738.68,72290,50955,21330,5,conventional,2015,Atlanta
30,5/31/2015,1.1,454702,382900.99,19543.18,522.81,51735,40505,11200,30,conventional,2015,Atlanta
31,5/24/2015,0.96,623212.04,538126.94,27284.43,1260.8,56540,33867,22651,22,conventional,2015,Atlanta
32,5/17/2015,1.11,451250.7,386400.89,18618.84,838.68,45392,33710,11682,0,conventional,2015,Atlanta
33,5/10/2015,1.1,480071.18,413452.96,18860.63,1089.33,46668,34108,12560,0,conventional,2015,Atlanta
34,5/3/2015,1,634213.1,538403.48,28568.26,1059.73,66182,32521,33661,0,conventional,2015,Atlanta
35,4/26/2015,1.12,448596.76,387676.81,18366.33,1041.78,41512,31315,10197,0,conventional,2015,Atlanta
36,4/19/2015,1.12,430966.34,368709.65,18040.85,873.24,43343,29662,13681,0,conventional,2015,Atlanta
37,4/12/2015,0.99,451101.89,377578.48,22419.95,219.14,50884,25833,25051,0,conventional,2015,Atlanta
38,4/5/2015,1.04,383139.49,318473.47,19254.39,374.51,45037,28612,16290,135,conventional,2015,Atlanta
39,3/29/2015,1.11,365722.14,305028.89,16651.99,261.01,43780,29314,14466,0,conventional,2015,Atlanta
40,3/22/2015,1,479590.62,393591.03,23419.6,304.89,62275,40495,21767,13,conventional,2015,Atlanta
41,3/15/2015,1.12,399566.22,336172.08,16508.21,310.7,46575,34912,11626,38,conventional,2015,Atlanta
42,3/8/2015,1.1,420826.32,361559.22,15788.71,236.97,43241,33847,9394,0,conventional,2015,Atlanta
43,3/1/2015,0.99,512532.44,441544,21183.7,347.78,49457,32181,17273,3,conventional,2015,Atlanta
44,2/22/2015,1.1,431308.56,369316.29,18324.76,237.47,43430,33424,10006,0,conventional,2015,Atlanta
45,2/15/2015,1.06,427391.28,364446.77,17420.41,638.18,44886,26728,18158,0,conventional,2015,Atlanta
46,2/8/2015,1.03,433883.91,377256.38,17162.5,524.85,38940,18044,20896,0,conventional,2015,Atlanta
47,2/1/2015,0.96,636771.37,553198.56,31583.38,294.94,51694,10554,41141,0,conventional,2015,Atlanta
48,1/25/2015,1.1,449332.85,393408.17,18718.27,594.25,36612,13176,23436,0,conventional,2015,Atlanta
49,1/18/2015,1.11,431490.99,372236.92,18701.9,511.69,40040,16783,23258,0,conventional,2015,Atlanta
50,1/11/2015,1.11,397542.72,330411.24,18958.22,1135.18,47038,21310,25728,0,conventional,2015,Atlanta
51,1/4/2015,1,435021.49,364302.39,23821.16,82.15,46816,16707,30109,0,conventional,2015,Atlanta
0,12/27/2015,1.17,596819.4,40450.49,394104.02,17353.79,144911,142544,2367,0,conventional,2015,BaltimoreWashington
1,12/20/2015,1.11,642682.4,44741.37,434590.82,19112.14,144238,141752,2486,0,conventional,2015,BaltimoreWashington
2,12/13/2015,1.15,619509.33,44400.26,399851.59,24291.2,150966,149070,1896,0,conventional,2015,BaltimoreWashington
3,12/6/2015,1.04,649141.25,51129.29,453586.5,25760.49,118665,117113,1552,0,conventional,2015,BaltimoreWashington
4,11/29/2015,1.16,545800.05,41028.15,379156.09,20147.53,105468,103616,1852,0,conventional,2015,BaltimoreWashington
5,11/22/2015,1.12,572019.8,40867.8,386137.78,23343.49,121671,119008,2663,0,conventional,2015,BaltimoreWashington
6,11/15/2015,1.04,718330.48,47109.75,503470.08,37990.29,129760,125298,4463,0,conventional,2015,BaltimoreWashington
7,11/8/2015,1.05,830967.23,58579.27,576512.71,51035.04,144840,138778,6063,0,conventional,2015,BaltimoreWashington
8,11/1/2015,1.12,742220.67,51860.07,473819.14,58615.76,157926,152716,5209,0,conventional,2015,BaltimoreWashington
9,10/25/2015,1.19,656892.03,53766.25,397911.35,49085.74,156129,149988,6141,0,conventional,2015,BaltimoreWashington
10,10/18/2015,0.99,1005603.78,59121.55,745385.26,49171.33,151926,146421,5505,0,conventional,2015,BaltimoreWashington
11,10/11/2015,1.24,653560.14,34707.02,392008.6,58490.1,168354,163669,4685,0,conventional,2015,BaltimoreWashington
12,10/4/2015,1.28,657444.04,35342.34,407609.95,42257.73,172234,167495,4739,0,conventional,2015,BaltimoreWashington
13,9/27/2015,1.19,696281.81,34309.05,451061.03,59018.61,151893,146793,5100,0,conventional,2015,BaltimoreWashington
14,9/20/2015,1.17,709268.62,39619.87,450283.01,45336.12,174030,168890,5140,0,conventional,2015,BaltimoreWashington
15,9/13/2015,1.09,924993.61,55699.25,675524.33,42270.47,151500,145686,5814,0,conventional,2015,BaltimoreWashington
16,9/6/2015,1.18,823623.36,63903.73,522568.44,68180.35,168971,165697,3269,6,conventional,2015,BaltimoreWashington
17,8/30/2015,1.24,734721.29,48455.25,458207.46,42754.34,185304,181969,3159,177,conventional,2015,BaltimoreWashington
18,8/23/2015,1.16,783935.36,59242.02,499100.39,47216.18,178377,175047,3060,269,conventional,2015,BaltimoreWashington
19,8/16/2015,1.14,882754.72,86492.03,597184.73,43102.61,155975,153157,2797,22,conventional,2015,BaltimoreWashington
20,8/9/2015,1.16,821523.45,56362.75,557363.94,42933.87,164863,161565,3298,0,conventional,2015,BaltimoreWashington
21,8/2/2015,1.17,800603.23,53957.63,535167.1,44749.58,166729,163668,3061,0,conventional,2015,BaltimoreWashington
22,7/26/2015,1.2,772926.12,52746.41,496508.65,45010.81,178660,174775,3880,5,conventional,2015,BaltimoreWashington
23,7/19/2015,1.18,800194.34,52954.94,496206.47,50319.84,200713,196838,3862,13,conventional,2015,BaltimoreWashington
24,7/12/2015,1.1,850931.58,58827.99,547537.41,50679.01,193887,189236,4406,245,conventional,2015,BaltimoreWashington
25,7/5/2015,1.16,896298.77,66504.67,567640.7,56044.51,206109,200098,5891,120,conventional,2015,BaltimoreWashington
26,6/28/2015,1.15,862261.64,65051.95,534535.21,51109.85,211565,207378,4023,164,conventional,2015,BaltimoreWashington
27,6/21/2015,1.16,862840.73,58398.76,527866.5,51952.74,224623,220904,3488,230,conventional,2015,BaltimoreWashington
28,6/14/2015,1.09,955046.82,64005.15,593499.63,48344.86,249197,244982,3668,547,conventional,2015,BaltimoreWashington
29,6/7/2015,1.26,794310.29,62585.45,462951.05,43720.95,225053,221166,3626,261,conventional,2015,BaltimoreWashington
30,5/31/2015,1.19,949177.06,67744.84,617813.87,45832.8,217786,211787,5730,268,conventional,2015,BaltimoreWashington
31,5/24/2015,1.18,908661.83,63610.12,560740.03,49808.51,234503,228843,5549,111,conventional,2015,BaltimoreWashington
32,5/17/2015,1.27,790853.86,63515.06,455166.65,44840.98,227331,222163,5152,16,conventional,2015,BaltimoreWashington
33,5/10/2015,1.26,855205.82,79192.07,507104.15,44390.54,224519,215572,8947,0,conventional,2015,BaltimoreWashington
34,5/3/2015,1.17,896972.05,73038.46,536709.99,77537.43,209686,201874,7767,44,conventional,2015,BaltimoreWashington
35,4/26/2015,1.29,747841.09,58013.85,431532.87,39942.57,218352,212065,6184,103,conventional,2015,BaltimoreWashington
36,4/19/2015,1.28,762862.62,67486.78,427623.27,42125.28,225627,219886,5741,0,conventional,2015,BaltimoreWashington
37,4/12/2015,1.15,837629.62,70796.72,523170.13,42270.76,201392,196076,5316,0,conventional,2015,BaltimoreWashington
38,4/5/2015,1.29,688065.45,53579.17,401279.47,41867.08,191340,184109,6357,874,conventional,2015,BaltimoreWashington
39,3/29/2015,1.25,663677.32,58098.15,398050.87,43759.68,163769,158964,4805,0,conventional,2015,BaltimoreWashington
40,3/22/2015,1.1,808897.21,65158.96,524971.24,42381.39,176386,171700,4686,0,conventional,2015,BaltimoreWashington
41,3/15/2015,1.24,693698.13,53400.14,395837.01,46596.22,197865,193131,4734,0,conventional,2015,BaltimoreWashington
42,3/8/2015,1.26,657745.9,55284.8,367670.93,42267.91,192522,188374,4148,0,conventional,2015,BaltimoreWashington
43,3/1/2015,1.16,770115.24,59039.85,498872.67,40241.65,171961,168224,3737,0,conventional,2015,BaltimoreWashington
44,2/22/2015,1.11,749845.79,50501.07,445970.56,62611.61,190763,186977,3786,0,conventional,2015,BaltimoreWashington
45,2/15/2015,1.25,637319.34,49751.74,361677.37,45900.05,179990,174865,5125,0,conventional,2015,BaltimoreWashington
46,2/8/2015,1.09,844931.21,71703.52,554857.41,37437.32,180933,175771,5162,0,conventional,2015,BaltimoreWashington
47,2/1/2015,1.06,1007418.76,93166.54,666010.38,83652.48,164589,159917,4672,0,conventional,2015,BaltimoreWashington
48,1/25/2015,1.2,692934.46,49696.14,386398.73,39488.95,217351,209762,7589,0,conventional,2015,BaltimoreWashington
49,1/18/2015,1.23,657741.34,49947.16,393359.6,40576.08,173859,169391,4468,0,conventional,2015,BaltimoreWashington
50,1/11/2015,1.17,670231.94,51460.64,420837.82,42526.96,155407,151331,4076,0,conventional,2015,BaltimoreWashington
51,1/4/2015,1.08,788025.06,53987.31,552906.04,39995.03,141137,137146,3991,0,conventional,2015,BaltimoreWashington
0,12/27/2015,0.97,62909.69,30482.25,2971.94,5894.4,23561,23520,6,35,conventional,2015,Boise
1,12/20/2015,1.03,57504.05,25628.22,2546.09,7393.84,21936,21900,11,24,conventional,2015,Boise
2,12/13/2015,0.99,58461.05,27148.61,2985.73,6458.44,21868,21843,4,21,conventional,2015,Boise
3,12/6/2015,0.71,95295.34,35590.98,12526.5,4086.26,43092,42735,0,357,conventional,2015,Boise
4,11/29/2015,1.06,49069.13,24189.98,2789.67,6031.49,16058,15861,0,197,conventional,2015,Boise
5,11/22/2015,1.09,52875.58,25408.86,3255.97,6662.8,17548,17531,4,13,conventional,2015,Boise
6,11/15/2015,1.01,68648.22,24424.72,12085.72,6502.37,25635,25200,9,427,conventional,2015,Boise
7,11/8/2015,1.11,55847.79,31910.27,4651.88,6285.73,13000,12778,120,102,conventional,2015,Boise
8,11/1/2015,1.14,53585.51,30434.99,4359.52,6428.27,12363,12332,0,31,conventional,2015,Boise
9,10/25/2015,1.11,59874.45,29521.58,10089.82,6551.57,13711,13661,0,51,conventional,2015,Boise
10,10/18/2015,1.16,54191.14,29614.23,9069.38,6586.27,8921,8918,0,3,conventional,2015,Boise
11,10/11/2015,0.94,80904.19,26114.19,33415.88,7604.48,13770,13543,185,41,conventional,2015,Boise
12,10/4/2015,1.12,59496.33,35154.43,10821.85,7551.63,5968,5462,505,2,conventional,2015,Boise
13,9/27/2015,0.99,64187.8,47007.35,5754.04,3663.3,7763,7597,160,6,conventional,2015,Boise
14,9/20/2015,1.03,73952.9,34826.9,21592.13,6640.07,10894,10601,273,19,conventional,2015,Boise
15,9/13/2015,1.08,64208.84,45738.83,4393.9,6593.46,7483,7483,0,0,conventional,2015,Boise
16,9/6/2015,1.16,64464.61,44134.65,5402.17,7991.75,6936,6934,0,2,conventional,2015,Boise
17,8/30/2015,1.19,60099.83,40926.77,5809.92,7922.58,5441,5441,0,0,conventional,2015,Boise
18,8/23/2015,1.05,70773.76,44059.22,14861.33,4433.12,7420,7420,0,0,conventional,2015,Boise
19,8/16/2015,1.12,64001.61,46189.28,5258.21,6457.21,6097,6091,0,6,conventional,2015,Boise
20,8/9/2015,1.1,61286.98,44739.54,5034,3931.19,7582,7569,13,0,conventional,2015,Boise
21,8/2/2015,1.07,67763.91,51151.27,5140.89,5435.36,6036,5988,49,0,conventional,2015,Boise
22,7/26/2015,1.07,67826.07,50978.38,4856.27,5479.57,6512,6358,154,0,conventional,2015,Boise
23,7/19/2015,1.09,63958.04,45921.6,5300.3,5565.17,7171,6354,817,0,conventional,2015,Boise
24,7/12/2015,1.05,74677.72,51828.75,5802.65,7474.4,9572,8335,1237,0,conventional,2015,Boise
25,7/5/2015,1.15,85044.45,61949.73,8022.13,8434.98,6638,6557,81,0,conventional,2015,Boise
26,6/28/2015,1.04,75280.41,59111.33,6573.26,3974.75,5621,5619,0,2,conventional,2015,Boise
27,6/21/2015,1.06,81397.07,52790.21,15444.74,5875.85,7286,7022,0,265,conventional,2015,Boise
28,6/14/2015,0.99,87607.71,58791.25,17880.43,3135.99,7800,7800,0,0,conventional,2015,Boise
29,6/7/2015,1.12,80751.29,61245.49,7237.55,6655.69,5613,5604,9,0,conventional,2015,Boise
30,5/31/2015,0.97,76689.38,57373.57,7421.36,4028.3,7866,7860,6,0,conventional,2015,Boise
31,5/24/2015,1.03,83209.77,54825.95,14839.33,6037.23,7507,7470,0,38,conventional,2015,Boise
32,5/17/2015,0.96,77987.53,61319.66,7393.99,2919.87,6354,6346,0,8,conventional,2015,Boise
33,5/10/2015,1.06,95788.53,62505.3,15896.54,7891.16,9496,9453,0,42,conventional,2015,Boise
34,5/3/2015,1,85466.99,66880.12,7942.34,4289.72,6355,6350,0,5,conventional,2015,Boise
35,4/26/2015,0.96,88111.17,69544.59,7985.48,3401.65,7179,7175,0,5,conventional,2015,Boise
36,4/19/2015,0.99,89694.96,56843.62,21630.9,3260.22,7960,7954,0,6,conventional,2015,Boise
37,4/12/2015,1.19,66246.3,44469.15,8506.36,7523.01,5748,5748,0,0,conventional,2015,Boise
38,4/5/2015,1.09,76704.46,57339.81,9060.49,3790.38,6514,6511,0,3,conventional,2015,Boise
39,3/29/2015,0.98,74543.98,59532.94,7119.52,3101.98,4790,4790,0,0,conventional,2015,Boise
40,3/22/2015,1.17,61419.11,44227.33,6589.77,7290.24,3312,3312,0,0,conventional,2015,Boise
41,3/15/2015,1,65918.28,51472.29,7018.29,2981.8,4446,4446,0,0,conventional,2015,Boise
42,3/8/2015,1.14,65350.24,45879.84,7206.22,7403.75,4860,4860,0,0,conventional,2015,Boise
43,3/1/2015,1.06,75046.37,40578,23738.56,3491.83,7238,6479,759,0,conventional,2015,Boise
44,2/22/2015,0.99,76836.1,50872,16374.74,2122.09,7467,7235,232,0,conventional,2015,Boise
45,2/15/2015,1.14,61221.98,41547.87,7840.31,6492.94,5341,3648,1693,0,conventional,2015,Boise
46,2/8/2015,1.07,69970.75,54229.34,9647.24,3047,3047,1373,1674,0,conventional,2015,Boise
47,2/1/2015,0.91,113578.24,67496.3,36532.33,2904.77,6645,4867,1778,0,conventional,2015,Boise
48,1/25/2015,1.03,66069.21,51922.06,7555.95,2061.16,4530,2010,2521,0,conventional,2015,Boise
49,1/18/2015,1.08,62870.49,50354.95,6342.37,2257.23,3916,1119,2797,0,conventional,2015,Boise
50,1/11/2015,1.18,57355.52,38112.34,10997.54,3321.89,4924,3295,1629,0,conventional,2015,Boise
51,1/4/2015,1.01,80034.32,44562.12,24964.23,2752.35,7756,6064,1691,0,conventional,2015,Boise
0,12/27/2015,1.13,450816.39,3886.27,346964.7,13952.56,86013,85914,99,0,conventional,2015,Boston
1,12/20/2015,1.07,489802.88,4912.37,390100.99,5887.72,88902,88768,133,0,conventional,2015,Boston
2,12/13/2015,1.01,549945.76,4641.02,455362.38,219.4,89723,89523,200,0,conventional,2015,Boston
3,12/6/2015,1.02,488679.31,5126.32,407520.22,142.99,75890,75666,224,0,conventional,2015,Boston
4,11/29/2015,1.19,350559.81,3609.25,272719.08,105.86,74126,73865,261,0,conventional,2015,Boston
5,11/22/2015,1.07,466759.99,4457.62,383420.46,233.74,78648,78162,486,0,conventional,2015,Boston
6,11/15/2015,1.05,513738.98,5310.32,420936.8,139.71,87352,85604,1748,0,conventional,2015,Boston
7,11/8/2015,1.04,641759.57,5304.09,542880.92,231.74,93343,88265,5078,0,conventional,2015,Boston
8,11/1/2015,1.06,553096.84,4886.14,449532.49,170.29,98508,93443,5065,0,conventional,2015,Boston
9,10/25/2015,1.02,534249.47,4005.39,430725.78,191.31,99327,94582,4745,0,conventional,2015,Boston
10,10/18/2015,0.94,725296.29,6409.86,627503.98,332.87,91050,86046,5003,0,conventional,2015,Boston
11,10/11/2015,1.14,485706.68,5145.86,378295.9,355.03,101910,97513,4397,0,conventional,2015,Boston
12,10/4/2015,1.07,536479.42,5804.31,427358.64,277.56,103039,97207,5831,0,conventional,2015,Boston
13,9/27/2015,1.07,553307.04,5210.84,463079.81,289.49,84727,82124,2603,0,conventional,2015,Boston
14,9/20/2015,1.15,498640.23,4376.74,398673.48,418.46,95172,91613,3559,0,conventional,2015,Boston
15,9/13/2015,1.03,655682.95,5422.29,560792.23,353.77,89115,84844,4271,0,conventional,2015,Boston
16,9/6/2015,1.11,577774.74,4237.44,477867.83,496.62,95173,94558,614,0,conventional,2015,Boston
17,8/30/2015,1.13,526664.87,4177.03,438502.9,554.04,83431,83242,189,0,conventional,2015,Boston
18,8/23/2015,1.07,589471.32,4744.11,488292.1,608.61,95827,95585,241,0,conventional,2015,Boston
19,8/16/2015,1.15,565795.06,4460.85,464476.33,748.65,96109,95887,222,0,conventional,2015,Boston
20,8/9/2015,1.07,690517.19,4173.23,590998.11,827.06,94519,94288,231,0,conventional,2015,Boston
21,8/2/2015,1.17,571994.5,4442.2,468591.76,1451.95,97509,97214,294,0,conventional,2015,Boston
22,7/26/2015,1.28,500233.69,4299.27,393281.62,1957.86,100695,100467,228,0,conventional,2015,Boston
23,7/19/2015,1.18,597168.12,4720.08,477629.8,5071.77,109746,109519,227,0,conventional,2015,Boston
24,7/12/2015,1.14,634515.74,5332.07,471639.53,9361.55,148183,146947,1236,0,conventional,2015,Boston
25,7/5/2015,1.27,582909.73,4743.46,418251.03,11053.82,148861,145983,2878,0,conventional,2015,Boston
26,6/28/2015,1.25,560494.92,4688.28,403230.6,9120.3,143456,142575,881,0,conventional,2015,Boston
27,6/21/2015,1.24,543504.66,3582.45,404908.53,8899.2,126114,125821,293,0,conventional,2015,Boston
28,6/14/2015,1.08,684346.48,5104.19,521254.77,6545.42,151442,151259,183,0,conventional,2015,Boston
29,6/7/2015,1.25,562542.86,4034.11,421007.42,93.05,137408,137225,183,0,conventional,2015,Boston
30,5/31/2015,1.26,565160.95,4128.35,418105.36,108.6,142819,142515,303,0,conventional,2015,Boston
31,5/24/2015,1.14,633521.98,4601.66,490485.76,276.82,138158,137769,388,0,conventional,2015,Boston
32,5/17/2015,1.26,534488.54,4285.68,380514.08,162.66,149526,147668,1858,0,conventional,2015,Boston
33,5/10/2015,1.14,625558.14,4601.5,476827.52,131.47,143998,141309,2688,0,conventional,2015,Boston
34,5/3/2015,1.17,552368.94,3828.64,429586.28,239.76,118714,115149,3565,0,conventional,2015,Boston
35,4/26/2015,1.28,465911.37,3915.3,352464.49,131.46,109400,106866,2534,0,conventional,2015,Boston
36,4/19/2015,1.15,504619.83,4013.71,384880.49,162.91,115563,114562,1001,0,conventional,2015,Boston
37,4/12/2015,1.26,408485.16,3575.89,294164.23,106.09,110639,108644,1995,0,conventional,2015,Boston
38,4/5/2015,1.27,449818.01,3657.54,330424.74,99.92,115636,113541,1949,146,conventional,2015,Boston
39,3/29/2015,1.19,453631.25,3619.31,339299.3,151.36,110561,108838,1723,0,conventional,2015,Boston
40,3/22/2015,1.18,453173.22,5956.18,344396.92,155.94,102664,102204,460,0,conventional,2015,Boston
41,3/15/2015,1.25,417750.36,6085.75,308996.7,111.59,102556,101932,624,0,conventional,2015,Boston
