Row ID,Ship Mode,Segment,Category,Sales
101,Standard Class,Home Office,Technology,95.976
102,Standard Class,Home Office,Office Supplies,1.788
103,Second Class,Consumer,Office Supplies,23.92
104,Standard Class,Consumer,Technology,238.896
105,Standard Class,Consumer,Furniture,102.36
106,Standard Class,Consumer,Office Supplies,36.882
107,Standard Class,Consumer,Technology,74.112
108,Standard Class,Consumer,Technology,27.992
109,Standard Class,Consumer,Office Supplies,3.304
110,Standard Class,Home Office,Technology,339.96
111,Standard Class,Corporate,Furniture,41.96
112,Standard Class,Consumer,Office Supplies,75.96
113,Standard Class,Consumer,Office Supplies,27.24
114,Second Class,Consumer,Office Supplies,40.096
115,Second Class,Consumer,Office Supplies,4.72
116,Second Class,Consumer,Office Supplies,23.976
117,Second Class,Consumer,Office Supplies,130.464
118,Standard Class,Consumer,Furniture,787.53
119,Standard Class,Corporate,Office Supplies,157.794
120,First Class,Consumer,Furniture,47.04
121,First Class,Consumer,Office Supplies,30.84
122,First Class,Consumer,Office Supplies,226.56
123,First Class,Consumer,Office Supplies,115.02
124,First Class,Consumer,Technology,68.04
125,Second Class,Home Office,Furniture,600.558
126,Standard Class,Consumer,Furniture,617.7
127,Standard Class,Consumer,Office Supplies,2.388
128,Standard Class,Consumer,Office Supplies,243.992
129,Second Class,Home Office,Furniture,81.424
130,Second Class,Home Office,Furniture,238.56
131,First Class,Corporate,Technology,59.97
132,First Class,Corporate,Office Supplies,78.304
133,First Class,Corporate,Office Supplies,21.456
134,Standard Class,Consumer,Office Supplies,20.04
135,Standard Class,Consumer,Office Supplies,35.44
136,Standard Class,Consumer,Office Supplies,11.52
137,Standard Class,Consumer,Office Supplies,4.02
138,Standard Class,Consumer,Office Supplies,76.176
139,Standard Class,Consumer,Office Supplies,65.88
140,Standard Class,Consumer,Furniture,43.12
141,Second Class,Corporate,Furniture,82.8
142,Standard Class,Corporate,Office Supplies,8.82
143,Standard Class,Corporate,Office Supplies,10.86
144,Standard Class,Corporate,Office Supplies,143.7
145,Standard Class,Consumer,Office Supplies,839.43
146,Standard Class,Consumer,Office Supplies,671.93
147,Standard Class,Home Office,Furniture,93.888
148,Standard Class,Corporate,Technology,384.45
149,Standard Class,Corporate,Technology,149.97
150,Standard Class,Corporate,Furniture,1951.84
151,Standard Class,Corporate,Office Supplies,171.55
152,First Class,Home Office,Office Supplies,157.92
153,First Class,Home Office,Technology,203.184
154,First Class,Corporate,Office Supplies,58.38
155,First Class,Corporate,Office Supplies,105.52
156,First Class,Corporate,Office Supplies,80.88
157,Standard Class,Home Office,Office Supplies,6.63
158,Second Class,Consumer,Furniture,457.568
159,Standard Class,Consumer,Office Supplies,14.62
160,Standard Class,Consumer,Technology,944.93
161,First Class,Consumer,Office Supplies,5.98
162,Second Class,Consumer,Technology,54.384
163,Standard Class,Consumer,Office Supplies,28.4
164,Standard Class,Consumer,Office Supplies,27.68
165,Standard Class,Consumer,Office Supplies,9.936
166,Standard Class,Consumer,Technology,8159.952
167,Standard Class,Consumer,Office Supplies,275.928
168,Standard Class,Consumer,Furniture,1740.06
169,Standard Class,Consumer,Office Supplies,32.064
170,Standard Class,Consumer,Office Supplies,177.98
171,Standard Class,Consumer,Technology,143.976
172,Standard Class,Consumer,Office Supplies,20.94
173,Standard Class,Consumer,Office Supplies,110.96
174,Standard Class,Consumer,Furniture,340.144
175,Standard Class,Corporate,Office Supplies,52.448
176,Standard Class,Corporate,Office Supplies,20.16
177,Second Class,Consumer,Office Supplies,97.264
178,Second Class,Consumer,Furniture,396.802
179,Second Class,Consumer,Office Supplies,15.88
180,Standard Class,Home Office,Office Supplies,3.28
181,Second Class,Corporate,Office Supplies,24.816
182,Second Class,Corporate,Technology,408.744
183,Second Class,Home Office,Technology,503.96
184,Second Class,Home Office,Technology,149.95
185,Second Class,Home Office,Technology,29
186,Standard Class,Consumer,Office Supplies,7.16
187,Standard Class,Home Office,Technology,176.8
188,Standard Class,Corporate,Office Supplies,37.224
189,Standard Class,Corporate,Office Supplies,20.016
190,First Class,Home Office,Furniture,899.136
191,First Class,Home Office,Technology,71.76
192,First Class,Home Office,Office Supplies,51.84
193,First Class,Home Office,Furniture,626.352
194,First Class,Home Office,Office Supplies,19.9
195,Standard Class,Corporate,Office Supplies,14.28
196,Standard Class,Consumer,Office Supplies,7.408
197,Standard Class,Consumer,Office Supplies,6.048
198,Standard Class,Home Office,Office Supplies,46.26
199,Standard Class,Corporate,Office Supplies,2.946
200,Standard Class,Corporate,Office Supplies,16.056
201,Standard Class,Consumer,Office Supplies,21.744
202,First Class,Consumer,Furniture,218.75
203,First Class,Consumer,Office Supplies,2.6
204,Second Class,Consumer,Office Supplies,66.284
205,Standard Class,Corporate,Furniture,35.168
206,Standard Class,Consumer,Technology,444.768
207,Standard Class,Consumer,Office Supplies,83.92
208,Standard Class,Consumer,Technology,131.98
209,Standard Class,Consumer,Office Supplies,15.92
210,Standard Class,Consumer,Office Supplies,52.29
211,Standard Class,Consumer,Office Supplies,91.99
212,Second Class,Corporate,Technology,20.8
213,Standard Class,Corporate,Office Supplies,23.68
214,Standard Class,Corporate,Furniture,452.45
215,Standard Class,Corporate,Technology,62.982
216,Standard Class,Corporate,Technology,1188
217,Standard Class,Corporate,Technology,89.584
218,Standard Class,Consumer,Office Supplies,93.06
219,Standard Class,Consumer,Technology,302.376
220,First Class,Consumer,Office Supplies,5.584
221,First Class,Consumer,Office Supplies,22.704
222,First Class,Consumer,Office Supplies,19.776
223,First Class,Consumer,Furniture,72.704
224,First Class,Consumer,Technology,479.988
225,First Class,Consumer,Office Supplies,27.168
226,Standard Class,Corporate,Office Supplies,2.2
227,Standard Class,Corporate,Furniture,622.45
228,Standard Class,Corporate,Office Supplies,21.98
229,Standard Class,Consumer,Furniture,161.568
230,Standard Class,Consumer,Furniture,389.696
231,Standard Class,Corporate,Office Supplies,18.648
232,Standard Class,Home Office,Furniture,233.86
233,Standard Class,Home Office,Furniture,620.6145
234,Standard Class,Home Office,Office Supplies,5.328
235,Standard Class,Home Office,Furniture,258.072
236,Standard Class,Home Office,Technology,617.976
237,Standard Class,Corporate,Office Supplies,10.56
238,Second Class,Consumer,Office Supplies,25.92
239,Second Class,Consumer,Furniture,419.68
240,Second Class,Consumer,Furniture,11.688
241,Second Class,Consumer,Technology,31.984
242,Second Class,Consumer,Furniture,177.225
243,Second Class,Consumer,Furniture,4.044
244,Second Class,Consumer,Office Supplies,7.408
245,Second Class,Home Office,Furniture,2001.86
246,Second Class,Home Office,Office Supplies,166.72
247,Second Class,Home Office,Office Supplies,47.88
248,Second Class,Home Office,Office Supplies,1503.25
249,Second Class,Home Office,Office Supplies,25.92
250,Second Class,Consumer,Furniture,321.568
251,Standard Class,Consumer,Office Supplies,7.61
252,Standard Class,Consumer,Technology,3347.37
253,First Class,Consumer,Office Supplies,80.58
254,First Class,Consumer,Office Supplies,361.92
255,Standard Class,Corporate,Furniture,12.132
256,Standard Class,Corporate,Office Supplies,82.368
257,Standard Class,Corporate,Office Supplies,53.92
258,Standard Class,Corporate,Technology,647.904
259,Second Class,Consumer,Technology,20.37
260,Second Class,Consumer,Office Supplies,221.55
261,Second Class,Consumer,Office Supplies,17.52
262,Standard Class,Corporate,Office Supplies,1.624
263,Second Class,Corporate,Technology,3059.982
264,Second Class,Corporate,Technology,2519.958
265,Standard Class,Consumer,Technology,328.224
266,Standard Class,Consumer,Technology,79.9
267,Standard Class,Corporate,Office Supplies,14.016
268,Standard Class,Consumer,Office Supplies,7.56
269,Standard Class,Corporate,Office Supplies,37.208
270,Standard Class,Corporate,Office Supplies,57.576
271,Second Class,Corporate,Office Supplies,725.84
272,First Class,Consumer,Technology,209.93
273,First Class,Consumer,Furniture,5.28
274,First Class,Consumer,Office Supplies,10.92
275,First Class,Corporate,Office Supplies,8.82
276,First Class,Corporate,Office Supplies,5.98
277,Standard Class,Corporate,Office Supplies,11.648
278,Standard Class,Corporate,Office Supplies,18.176
279,Standard Class,Corporate,Office Supplies,59.712
280,Standard Class,Corporate,Office Supplies,24.84
281,Second Class,Consumer,Office Supplies,2.08
282,Second Class,Consumer,Technology,1114.4
283,Standard Class,Consumer,Furniture,1038.84
284,Standard Class,Consumer,Office Supplies,141.76
285,Standard Class,Consumer,Technology,239.8
286,Standard Class,Consumer,Office Supplies,31.104
287,Second Class,Corporate,Office Supplies,254.058
288,Second Class,Corporate,Office Supplies,194.528
289,Second Class,Corporate,Office Supplies,961.48
290,Second Class,Home Office,Office Supplies,19.096
291,Second Class,Home Office,Office Supplies,18.496
292,Second Class,Home Office,Technology,255.984
293,Second Class,Home Office,Furniture,86.97
294,First Class,Corporate,Furniture,300.416
295,First Class,Corporate,Furniture,230.352
296,First Class,Corporate,Furniture,218.352
297,First Class,Corporate,Office Supplies,78.6
298,First Class,Corporate,Office Supplies,27.552
299,Standard Class,Corporate,Office Supplies,32.4
300,Standard Class,Corporate,Office Supplies,1082.48
301,Standard Class,Corporate,Office Supplies,56.91
302,Standard Class,Corporate,Furniture,77.6
303,Standard Class,Corporate,Office Supplies,14.28
304,Standard Class,Consumer,Furniture,219.075
305,Second Class,Corporate,Furniture,26.8
306,Standard Class,Corporate,Office Supplies,9.84
307,Standard Class,Home Office,Office Supplies,45.48
308,Standard Class,Home Office,Office Supplies,289.2
309,First Class,Consumer,Office Supplies,4.89
310,Second Class,Corporate,Furniture,15.136
311,Second Class,Corporate,Furniture,466.768
312,Second Class,Corporate,Furniture,15.232
313,Second Class,Corporate,Office Supplies,6.264
314,Standard Class,Corporate,Furniture,87.54
315,Standard Class,Corporate,Technology,178.384
316,Standard Class,Corporate,Office Supplies,15.552
317,First Class,Corporate,Office Supplies,99.136
318,Standard Class,Home Office,Furniture,135.882
319,Standard Class,Home Office,Technology,3991.98
320,Standard Class,Home Office,Technology,275.94
321,Standard Class,Home Office,Technology,360
322,Standard Class,Home Office,Office Supplies,43.57
323,Standard Class,Corporate,Office Supplies,7.16
324,Standard Class,Corporate,Office Supplies,251.52
325,Standard Class,Corporate,Technology,99.99
326,Second Class,Corporate,Furniture,15.992
327,First Class,Consumer,Technology,290.898
328,First Class,Consumer,Office Supplies,54.224
329,First Class,Consumer,Furniture,786.744
330,First Class,Consumer,Office Supplies,100.24
331,First Class,Consumer,Office Supplies,37.764
332,Second Class,Consumer,Technology,82.8
333,Second Class,Consumer,Office Supplies,20.724
334,Second Class,Consumer,Office Supplies,4.896
335,Second Class,Consumer,Office Supplies,4.752
336,Second Class,Consumer,Technology,959.984
337,Second Class,Consumer,Office Supplies,14.368
338,Standard Class,Corporate,Office Supplies,7.712
339,Standard Class,Corporate,Furniture,698.352
340,Second Class,Consumer,Office Supplies,4.96
341,Second Class,Corporate,Office Supplies,17.856
342,Second Class,Corporate,Office Supplies,509.97
343,Second Class,Corporate,Office Supplies,30.992
344,Second Class,Corporate,Technology,71.928
345,Standard Class,Consumer,Office Supplies,88.8
346,Standard Class,Consumer,Technology,47.976
347,Standard Class,Consumer,Office Supplies,7.56
348,Standard Class,Consumer,Office Supplies,24.56
349,Standard Class,Consumer,Office Supplies,12.96
350,First Class,Home Office,Technology,6.79
351,First Class,Home Office,Office Supplies,24.56
352,First Class,Home Office,Office Supplies,3.048
353,First Class,Home Office,Office Supplies,49.12
354,First Class,Home Office,Office Supplies,4355.168
355,Standard Class,Consumer,Furniture,388.704
356,Standard Class,Consumer,Office Supplies,8.26
357,Standard Class,Consumer,Office Supplies,17.04
358,Standard Class,Consumer,Office Supplies,34.4
359,Standard Class,Corporate,Office Supplies,36.24
360,First Class,Corporate,Office Supplies,647.84
361,First Class,Corporate,Office Supplies,20.7
362,Standard Class,Consumer,Office Supplies,20.7
363,Standard Class,Consumer,Furniture,488.646
364,Standard Class,Consumer,Office Supplies,5.56
365,Standard Class,Consumer,Furniture,47.12
366,Standard Class,Consumer,Office Supplies,211.96
367,Same Day,Corporate,Office Supplies,23.2
368,Same Day,Corporate,Office Supplies,7.36
369,Same Day,Corporate,Office Supplies,104.79
370,Same Day,Corporate,Furniture,1043.92
371,Standard Class,Consumer,Office Supplies,25.92
372,Standard Class,Consumer,Office Supplies,53.424
373,Standard Class,Consumer,Office Supplies,8.16
374,Standard Class,Consumer,Technology,1023.936
375,Standard Class,Consumer,Office Supplies,9.24
376,Standard Class,Consumer,Technology,479.04
377,First Class,Corporate,Office Supplies,99.136
378,Standard Class,Corporate,Furniture,1488.424
379,Standard Class,Consumer,Office Supplies,8.652
380,Standard Class,Consumer,Office Supplies,23.832
381,Standard Class,Consumer,Office Supplies,12.176
382,First Class,Corporate,Office Supplies,50.96
383,First Class,Corporate,Office Supplies,49.536
384,Second Class,Corporate,Technology,41.9
385,Standard Class,Consumer,Furniture,375.4575
386,Standard Class,Consumer,Technology,83.976
387,Standard Class,Corporate,Technology,482.34
388,Standard Class,Corporate,Furniture,2.96
389,First Class,Consumer,Office Supplies,2.624
390,Standard Class,Consumer,Office Supplies,23.36
391,Standard Class,Consumer,Technology,39.98
392,Second Class,Consumer,Technology,246.384
393,Second Class,Consumer,Technology,1799.97
394,Second Class,Corporate,Office Supplies,12.462
395,Standard Class,Home Office,Office Supplies,75.792
396,Second Class,Corporate,Office Supplies,49.96
397,Second Class,Corporate,Office Supplies,12.96
398,Standard Class,Home Office,Office Supplies,70.12
399,Second Class,Consumer,Office Supplies,35.952
400,Second Class,Consumer,Furniture,2396.2656
401,Second Class,Consumer,Office Supplies,131.136
402,Second Class,Consumer,Technology,57.584
403,First Class,Consumer,Office Supplies,9.568
404,Standard Class,Corporate,Office Supplies,39.072
405,Standard Class,Consumer,Office Supplies,35.91
406,Standard Class,Consumer,Technology,179.95
407,Standard Class,Consumer,Technology,1199.976
408,Standard Class,Consumer,Office Supplies,27.15
409,Standard Class,Consumer,Furniture,1004.024
410,Standard Class,Consumer,Office Supplies,9.68
411,Standard Class,Consumer,Office Supplies,28.35
412,Standard Class,Consumer,Office Supplies,55.98
413,Standard Class,Consumer,Furniture,1336.829
414,Standard Class,Consumer,Furniture,113.568
415,Standard Class,Corporate,Office Supplies,139.86
416,Standard Class,Corporate,Furniture,307.136
417,Standard Class,Consumer,Office Supplies,95.92
418,Standard Class,Consumer,Furniture,383.8
419,Standard Class,Corporate,Office Supplies,5.78
420,Standard Class,Corporate,Office Supplies,9.32
421,Standard Class,Corporate,Office Supplies,15.25
422,First Class,Consumer,Technology,196.752
423,Standard Class,Corporate,Furniture,56.56
424,Standard Class,Corporate,Office Supplies,32.7
425,Second Class,Consumer,Furniture,866.4
426,Second Class,Corporate,Furniture,28.4
427,Second Class,Corporate,Office Supplies,287.92
428,First Class,Home Office,Technology,69.99
429,Standard Class,Corporate,Office Supplies,6.672
430,Standard Class,Home Office,Office Supplies,189.588
431,Standard Class,Home Office,Technology,408.744
432,Standard Class,Home Office,Technology,291.96
433,Standard Class,Home Office,Office Supplies,4.768
434,First Class,Consumer,Office Supplies,714.3
435,Standard Class,Consumer,Office Supplies,4.812
436,Standard Class,Consumer,Technology,247.8
437,Second Class,Home Office,Technology,1007.979
438,Second Class,Home Office,Office Supplies,313.488
439,Standard Class,Corporate,Office Supplies,31.872
440,Second Class,Corporate,Furniture,207.846
441,Second Class,Consumer,Furniture,12.22
442,Second Class,Consumer,Office Supplies,194.94
443,Second Class,Consumer,Office Supplies,70.95
444,Second Class,Consumer,Office Supplies,91.36
445,Second Class,Consumer,Furniture,242.94
446,Second Class,Consumer,Office Supplies,22.05
447,Second Class,Consumer,Furniture,2.91
448,Second Class,Consumer,Office Supplies,59.52
449,Second Class,Consumer,Office Supplies,161.94
450,Second Class,Consumer,Office Supplies,263.88
451,Second Class,Consumer,Office Supplies,30.48
452,Second Class,Consumer,Office Supplies,9.84
453,Second Class,Consumer,Technology,35.12
454,Standard Class,Corporate,Furniture,284.364
455,Standard Class,Corporate,Office Supplies,665.408
456,Standard Class,Corporate,Technology,63.88
457,Standard Class,Consumer,Furniture,129.568
458,Standard Class,Consumer,Furniture,747.558
459,Standard Class,Consumer,Office Supplies,8.928
460,Standard Class,Consumer,Office Supplies,103.92
461,Standard Class,Consumer,Technology,899.91
462,Standard Class,Consumer,Office Supplies,51.312
463,Standard Class,Home Office,Furniture,23.56
464,Standard Class,Home Office,Furniture,1272.63
465,Standard Class,Home Office,Office Supplies,28.485
466,Standard Class,Home Office,Office Supplies,185.376
467,Standard Class,Home Office,Office Supplies,78.272
468,Standard Class,Home Office,Furniture,254.744
469,Standard Class,Corporate,Furniture,205.3328
470,Second Class,Consumer,Office Supplies,4.788
471,Standard Class,Corporate,Office Supplies,55.48
472,Second Class,Consumer,Office Supplies,340.92
473,Second Class,Consumer,Furniture,222.666
474,Second Class,Consumer,Technology,703.968
475,Second Class,Consumer,Office Supplies,92.52
476,Second Class,Consumer,Office Supplies,62.65
477,Second Class,Consumer,Office Supplies,94.85
478,Standard Class,Corporate,Technology,95.76
479,Standard Class,Consumer,Furniture,40.2
480,Standard Class,Corporate,Office Supplies,14.7
481,Standard Class,Corporate,Office Supplies,704.25
482,Standard Class,Consumer,Technology,9.09
483,Standard Class,Consumer,Office Supplies,5.96
484,Standard Class,Consumer,Technology,159.98
485,First Class,Home Office,Office Supplies,29.6
486,First Class,Home Office,Furniture,514.165
487,First Class,Home Office,Technology,279.96
488,First Class,Consumer,Technology,2735.952
489,Second Class,Home Office,Technology,7.992
490,Second Class,Home Office,Technology,63.984
491,Second Class,Home Office,Office Supplies,70.368
492,Standard Class,Consumer,Office Supplies,449.15
493,Standard Class,Consumer,Office Supplies,11.07
494,Standard Class,Consumer,Technology,93.98
495,Second Class,Consumer,Furniture,189.882
496,Standard Class,Consumer,Office Supplies,105.42
497,Standard Class,Consumer,Office Supplies,119.616
498,Standard Class,Consumer,Furniture,255.76
499,Standard Class,Consumer,Furniture,241.568
500,Standard Class,Consumer,Furniture,69.3
501,Standard Class,Corporate,Office Supplies,22.62
502,Standard Class,Corporate,Office Supplies,14.952
503,Standard Class,Corporate,Furniture,801.568
504,Standard Class,Corporate,Office Supplies,2.376
505,Standard Class,Corporate,Office Supplies,32.792
506,Second Class,Corporate,Office Supplies,15.92
507,Standard Class,Consumer,Office Supplies,2.74
508,Standard Class,Consumer,Office Supplies,8.34
509,Standard Class,Consumer,Office Supplies,46.74
510,Standard Class,Consumer,Office Supplies,6354.95
511,First Class,Consumer,Furniture,126.3
512,First Class,Consumer,Technology,38.04
513,First Class,Consumer,Office Supplies,7.152
514,Standard Class,Consumer,Office Supplies,6.63
515,Standard Class,Consumer,Office Supplies,5.88
516,Standard Class,Home Office,Technology,2999.95
517,Standard Class,Home Office,Office Supplies,51.45
518,Standard Class,Home Office,Office Supplies,11.96
519,Standard Class,Home Office,Office Supplies,1126.02
520,Standard Class,Consumer,Technology,18.392
521,Standard Class,Consumer,Office Supplies,129.568
522,Standard Class,Consumer,Office Supplies,14.112
523,First Class,Corporate,Furniture,210.98
524,First Class,Consumer,Technology,55.176
525,First Class,Consumer,Technology,66.26
526,Standard Class,Consumer,Office Supplies,22.2
527,Standard Class,Home Office,Furniture,683.952
528,Standard Class,Home Office,Furniture,45.696
529,Standard Class,Consumer,Office Supplies,36.336
530,Standard Class,Consumer,Office Supplies,666.248
531,Standard Class,Consumer,Office Supplies,52.512
532,Second Class,Corporate,Furniture,190.72
533,Standard Class,Consumer,Furniture,47.94
534,Second Class,Consumer,Technology,979.95
535,Second Class,Consumer,Office Supplies,22.75
536,Standard Class,Consumer,Office Supplies,16.768
537,Second Class,Consumer,Office Supplies,42.616
538,Standard Class,Home Office,Office Supplies,10.752
539,Standard Class,Consumer,Office Supplies,152.94
540,Standard Class,Consumer,Furniture,283.92
541,First Class,Consumer,Technology,468.9
542,First Class,Corporate,Technology,380.864
543,Standard Class,Consumer,Office Supplies,646.776
544,Standard Class,Consumer,Technology,58.112
545,Standard Class,Consumer,Technology,100.792
546,Standard Class,Consumer,Furniture,66.112
547,First Class,Home Office,Office Supplies,41.28
548,First Class,Home Office,Office Supplies,13.36
549,Second Class,Corporate,Office Supplies,250.272
550,Second Class,Corporate,Office Supplies,11.364
551,Second Class,Corporate,Office Supplies,8.72
552,Second Class,Consumer,Furniture,1121.568
553,First Class,Consumer,Furniture,34.504
554,Standard Class,Consumer,Office Supplies,10.824
555,Second Class,Corporate,Office Supplies,1295.78
556,Second Class,Consumer,Office Supplies,19.456
557,Standard Class,Consumer,Office Supplies,20.7
558,Standard Class,Consumer,Furniture,1335.68
559,Standard Class,Consumer,Office Supplies,32.4
560,Second Class,Consumer,Furniture,42.6
561,Second Class,Consumer,Office Supplies,84.056
562,Second Class,Consumer,Office Supplies,13
563,Second Class,Consumer,Furniture,13.128
564,First Class,Consumer,Office Supplies,3.96
565,First Class,Consumer,Office Supplies,2.61
566,First Class,Consumer,Technology,374.376
567,Standard Class,Corporate,Office Supplies,91.84
568,Standard Class,Corporate,Office Supplies,81.088
569,Standard Class,Corporate,Office Supplies,19.44
570,Standard Class,Corporate,Furniture,451.152
571,Standard Class,Consumer,Office Supplies,72.45
572,Standard Class,Consumer,Office Supplies,13.96
573,Standard Class,Consumer,Office Supplies,33.264
574,Standard Class,Consumer,Technology,14.85
575,Standard Class,Consumer,Office Supplies,8.82
576,Second Class,Consumer,Office Supplies,160.72
577,Second Class,Consumer,Office Supplies,19.92
578,Second Class,Consumer,Office Supplies,7.3
579,Standard Class,Consumer,Office Supplies,69.712
580,Standard Class,Consumer,Furniture,8.792
581,Standard Class,Consumer,Office Supplies,51.52
582,Standard Class,Consumer,Technology,470.376
583,Standard Class,Consumer,Technology,105.584
584,Standard Class,Consumer,Office Supplies,31.152
585,Standard Class,Consumer,Office Supplies,6.783
586,Standard Class,Consumer,Technology,406.368
587,Standard Class,Consumer,Furniture,70.98
588,Standard Class,Consumer,Office Supplies,294.93
589,Standard Class,Consumer,Technology,84.784
590,Standard Class,Consumer,Office Supplies,20.736
591,Standard Class,Consumer,Office Supplies,16.821
592,Standard Class,Consumer,Office Supplies,10.368
593,Standard Class,Consumer,Office Supplies,9.344
594,Standard Class,Consumer,Technology,31.2
595,Standard Class,Consumer,Office Supplies,76.12
596,Standard Class,Consumer,Technology,1199.976
597,Standard Class,Consumer,Technology,445.96
598,Standard Class,Consumer,Furniture,327.76
599,First Class,Consumer,Office Supplies,11.632
600,Standard Class,Consumer,Technology,143.982
601,Standard Class,Consumer,Technology,494.376
602,Standard Class,Consumer,Office Supplies,5.84
603,Standard Class,Consumer,Office Supplies,142.776
604,Standard Class,Consumer,Furniture,45.696
605,Standard Class,Consumer,Office Supplies,7.218
606,Standard Class,Consumer,Office Supplies,43.188
607,Standard Class,Consumer,Office Supplies,131.904
608,Standard Class,Consumer,Office Supplies,3.282
609,Standard Class,Consumer,Office Supplies,21.168
610,Standard Class,Consumer,Technology,55.188
611,First Class,Corporate,Technology,369.576
612,First Class,Corporate,Office Supplies,15.712
613,Second Class,Corporate,Office Supplies,8.448
614,Second Class,Corporate,Technology,728.946
615,Second Class,Consumer,Technology,119.94
616,Second Class,Consumer,Office Supplies,3.648
617,Second Class,Corporate,Furniture,40.48
618,Second Class,Corporate,Furniture,9.94
619,Second Class,Corporate,Office Supplies,107.424
620,Second Class,Corporate,Technology,37.91
621,Second Class,Corporate,Furniture,88.02
